nom_img_B;numech_B;nom_img_T;numech_T;ecart_numech;distance_features
2025_Conforme_1_Cam_B_1_242.jpg;242;2025_Conforme_1_Cam_T_1_182.jpg;182;-60;0.1016
2025_Conforme_1_Cam_B_1_244.jpg;244;2025_Conforme_1_Cam_T_1_212.jpg;212;-32;0.2341
2025_Conforme_1_Cam_B_1_247.jpg;247;2025_Conforme_1_Cam_T_1_294.jpg;294;47;0.1866
2025_Conforme_1_Cam_B_1_251.jpg;251;2025_Conforme_1_Cam_T_1_187.jpg;187;-64;0.1269
2025_Conforme_1_Cam_B_1_252.jpg;252;2025_Conforme_1_Cam_T_1_250.jpg;250;-2;0.2016
2025_Conforme_1_Cam_B_1_253.jpg;253;2025_Conforme_1_Cam_T_1_270.jpg;270;17;0.1502
2025_Conforme_1_Cam_B_1_254.jpg;254;2025_Conforme_1_Cam_T_1_222.jpg;222;-32;0.2707
2025_Conforme_1_Cam_B_1_255.jpg;255;2025_Conforme_1_Cam_T_1_260.jpg;260;5;0.1397
2025_Conforme_1_Cam_B_1_260.jpg;260;2025_Conforme_1_Cam_T_1_303.jpg;303;43;0.3292
2025_Conforme_1_Cam_B_1_261.jpg;261;2025_Conforme_1_Cam_T_1_216.jpg;216;-45;0.0837
2025_Conforme_1_Cam_B_1_262.jpg;262;2025_Conforme_1_Cam_T_1_203.jpg;203;-59;0.0721
2025_Conforme_1_Cam_B_1_263.jpg;263;2025_Conforme_1_Cam_T_1_218.jpg;218;-45;0.0794
2025_Conforme_1_Cam_B_1_265.jpg;265;2025_Conforme_1_Cam_T_1_210.jpg;210;-55;0.1895
2025_Conforme_1_Cam_B_1_267.jpg;267;2025_Conforme_1_Cam_T_1_284.jpg;284;17;0.1464
2025_Conforme_1_Cam_B_1_269.jpg;269;2025_Conforme_1_Cam_T_1_228.jpg;228;-41;0.1063
2025_Conforme_1_Cam_B_1_271.jpg;271;2025_Conforme_1_Cam_T_1_269.jpg;269;-2;0.1744
2025_Conforme_1_Cam_B_1_272.jpg;272;2025_Conforme_1_Cam_T_1_197.jpg;197;-75;0.3067
2025_Conforme_1_Cam_B_1_273.jpg;273;2025_Conforme_1_Cam_T_1_204.jpg;204;-69;0.1147
2025_Conforme_1_Cam_B_1_274.jpg;274;2025_Conforme_1_Cam_T_1_208.jpg;208;-66;0.0664
2025_Conforme_1_Cam_B_1_278.jpg;278;2025_Conforme_1_Cam_T_1_295.jpg;295;17;0.5827
2025_Conforme_1_Cam_B_1_280.jpg;280;2025_Conforme_1_Cam_T_1_275.jpg;275;-5;0.2364
2025_Conforme_1_Cam_B_1_281.jpg;281;2025_Conforme_1_Cam_T_1_301.jpg;301;20;0.2014
2025_Conforme_1_Cam_B_1_282.jpg;282;2025_Conforme_1_Cam_T_1_319.jpg;319;37;0.2593
2025_Conforme_1_Cam_B_1_284.jpg;284;2025_Conforme_1_Cam_T_1_229.jpg;229;-55;0.2385
2025_Conforme_1_Cam_B_1_285.jpg;285;2025_Conforme_1_Cam_T_1_255.jpg;255;-30;0.1933
2025_Conforme_1_Cam_B_1_286.jpg;286;2025_Conforme_1_Cam_T_1_239.jpg;239;-47;0.0605
